Date and Time,Temperature,ECG,GSR,HR,IR,RED
2024-07-10 09:38:50.216826+00:00,81.05,0.0303,0.0342,71.36,105549.0,84317.0
2024-07-10 09:38:47.098098+00:00,81.27,0.0,0.0323,71.75,105513.0,84336.0
2024-07-10 09:38:43.989989+00:00,81.48,0.0156,0.0215,62.760000000000005,105530.0,84286.0
2024-07-10 09:38:40.881836+00:00,81.45,0.0538,0.0,0.0,105504.0,84267.0
2024-07-10 09:38:37.767748+00:00,81.34,0.043,0.1515,0.0,105495.0,84272.0
2024-07-10 09:38:34.654862+00:00,81.34,0.0225,0.0323,71.75,105454.0,84287.0
2024-07-10 09:38:31.543148+00:00,81.23,0.0557,0.0,0.1,105470.0,84259.0
2024-07-10 09:38:28.433686+00:00,81.27,0.0342,0.1632,71.75,105459.0,84238.0
2024-07-10 09:38:25.327474+00:00,81.34,0.0567,0.0,0.0,105466.0,84254.0
2024-07-10 09:38:22.220341+00:00,81.34,0.0,0.0411,71.85000000000001,105455.0,84282.0
2024-07-10 09:38:19.110953+00:00,81.12,0.0303,0.1652,0.6799999999999999,105402.0,84229.0
2024-07-10 09:38:16.002388+00:00,81.23,0.0401,0.13,0.0,105423.0,84200.0
2024-07-10 09:38:12.889503+00:00,81.12,0.0538,0.0,14.760000000000002,105367.0,84158.0
2024-07-10 09:38:09.777298+00:00,81.48,0.0499,0.0381,71.75,105328.0,84167.0
2024-07-10 09:38:06.668251+00:00,81.37,0.0088,0.0391,72.04,105311.0,84125.0
2024-07-10 09:38:03.558238+00:00,81.27,0.0411,0.1515,0.1,105314.0,84095.0
2024-07-10 09:38:00.443904+00:00,81.37,0.0557,0.0,0.0,105280.0,84083.0
2024-07-10 09:37:57.332449+00:00,81.37,0.0596,0.0166,71.16,105238.0,84102.0
2024-07-10 09:37:54.213876+00:00,81.16,0.0166,0.0332,71.65,105188.0,84012.0
2024-07-10 09:37:51.108686+00:00,81.12,0.0,0.0401,71.85000000000001,105153.0,83961.0
2024-07-10 09:37:47.995595+00:00,81.55,0.0,0.0332,72.04,105035.0,83891.0
2024-07-10 09:37:44.885399+00:00,81.37,0.0176,0.0323,72.14,105030.0,83899.0
2024-07-10 09:37:41.774278+00:00,81.23,0.0518,0.0293,72.14,104968.0,83806.0
2024-07-10 09:37:38.662250+00:00,81.37,0.045,0.0186,71.95,104909.0,83774.0
2024-07-10 09:37:35.550047+00:00,81.16,0.0528,0.0,71.26,104925.0,83769.0
2024-07-10 09:37:32.441214+00:00,81.27,0.042,0.0,0.0,104900.0,83703.0
2024-07-10 09:37:29.330450+00:00,81.27,0.0235,0.1525,0.0,104766.0,83599.0
2024-07-10 09:37:26.219756+00:00,81.37,0.0352,0.1535,0.0,104629.0,83508.0
2024-07-10 09:37:23.108354+00:00,81.16,0.0264,0.1584,0.0,104570.0,83502.0
2024-07-10 09:37:19.997157+00:00,81.59,0.0596,0.1584,0.0,104507.0,83395.0
2024-07-10 09:37:16.886830+00:00,81.37,0.0674,0.1623,0.0,104432.0,83333.0
2024-07-10 09:37:13.775101+00:00,81.37,0.0499,0.1652,0.29,104371.0,83252.0
2024-07-10 09:37:10.663694+00:00,81.12,0.0499,0.1329,0.0,104314.0,83222.0
2024-07-10 09:37:07.486747+00:00,81.16,0.0528,0.1613,0.0,104176.0,83081.0
